Stop ID,Stop Code,Traffic
694,FANSGLEN,9167.0
695,FANSHAS1,9167.0
696,FANSHAS2,9167.0
697,FANSHAS3,9167.0
698,FANSHIGH,9167.0
699,FANSJEN2,9167.0
700,FANSJEN4,9167.0
701,FANSLOU1,9167.0
702,FANSLOU2,9167.0
703,FANSMCLE,9167.0
704,FANSNCR1,9167.0
705,FANSNCR2,9167.0
706,FANSNCR3,9167.0
707,FANSNCR4,9167.0
708,FANSPHIL,9167.0
709,FANSRIC1,9167.0
711,FANSSTO1,9167.0
712,FANSSTO2,9167.0
713,FANSSTO3,9167.0
717,FARRPROU,0.0
721,FERNCONT,7500.0
733,FLORASH1,14083.0
734,FLORASH2,14083.0
736,FLOREGE1,14083.0
737,FLOREGE2,14083.0
738,FLORELE1,14083.0
739,FLORELE2,14083.0
740,FLORFAI1,14083.0
741,FLORFAI2,14083.0
743,FLORHIG2,14083.0
744,FLORKEL1,14083.0
745,FLORKEL2,14083.0
750,FULLREGA,3500.0
752,FULLVES2,3500.0
756,GAINWON1,0.0
757,GAINWON2,0.0
759,GARDBER1,2750.0
762,GARDRID1,2750.0
763,GARDRID2,2750.0
766,GARDSOU2,2750.0
767,GARDSOU3,0.0
768,GLASMORN,0.0
783,GOREBRAE,7438.0
785,GOREFIRE,7438.0
790,GRANHIG1,4750.0
791,GRANHIG2,4750.0
792,GRANHIG4,0.0
800,GRENADEL,3750.0
801,GRENGREN,3750.0
803,GRENMIDA,3750.0
804,GREYCOLB,1875.0
805,GREYWATE,1875.0
808,GRIFBBA2,2808.0
810,GRIFBOLE,2808.0
811,GRIFCOMM,2808.0
812,GRIFDEA2,15222.0
814,GRIFFAIR,2808.0
816,GRIFHEMO,2808.0
817,GRIFNORM,2808.0
818,GRIFROBW,2808.0
822,GRIFWIDD,2808.0
828,HALEBEAT,7500.0
829,HALEBRY1,7500.0
830,HALEBRY2,7500.0
831,HALEDOU1,7500.0
832,HALEDOU2,7500.0
833,HALEDUND,7500.0
834,HALEEAST,7500.0
835,HALEELLS,7500.0
836,HALEGRAY,7500.0
837,HALEMAGE,7500.0
838,HALEMONT,7500.0
839,HALESTE1,7500.0
840,HALESTE2,7500.0
842,HALETRA2,7500.0
843,HALLCOMM,2500.0
845,HAMIADE1,16174.0
846,HAMIADE2,16174.0
847,HAMIBRA1,16174.0
848,HAMIBRA3,16174.0
850,HAMIEAST,16174.0
851,HAMIEGE1,16174.0
852,HAMIEGE2,16174.0
854,HAMIELM,16174.0
855,HAMIGIL1,16174.0
856,HAMIGIL2,16174.0
858,HAMIGORE,16174.0
859,HAMIHALE,16174.0
860,HAMIHIG1,16174.0
861,HAMIHIG2,16174.0
863,HAMILTGR,16174.0
865,HAMIMAME,16174.0
866,HAMIMEA1,16174.0
867,HAMIMEA3,16174.0
868,HAMINORL,16174.0
871,HAMIPILA,16174.0
874,HAMIREC1,16174.0
875,HAMIREC2,16174.0
878,HAMIRIRU,16174.0
879,HAMISAC1,16174.0
880,HAMISAC2,16174.0
883,HAMISJU1,16174.0
884,HAMISJU2,16174.0
885,HAMITENN,16174.0
887,HAMIWATM,16174.0
889,HASTCHA1,2100.0
890,HASTCHA2,2100.0
891,HASTDONY,2100.0
892,HASTVIR1,2100.0
893,HIGBBEA1,31920.0
894,HIGBBEA2,31920.0
895,HIGBBRY1,0.0
896,HIGBBRY2,31920.0
897,HIGBCALV,31920.0
898,HIGBCHE1,31920.0
899,HIGBCHE2,31920.0
900,HIGBDUN1,31920.0
901,HIGBDUN2,31920.0
903,HIGBEDVA,31920.0
905,HIGBFUL1,0.0
906,HIGBFUL2,31920.0
907,HIGBGOD1,31920.0
908,HIGBGOD2,31920.0
909,HIGBHAM1,31920.0
910,HIGBHAM2,31920.0
911,HIGBHIC1,31920.0
912,HIGBHIC2,31920.0
913,HIGBHURO,31920.0
914,HIGBKIAR,31920.0
915,HIGBKIL2,31920.0
916,HIGBLAN1,0.0
917,HIGBLAN2,31920.0
919,HIGBLPH1,0.0
920,HIGBLPH2,0.0
921,HIGBMAGE,31920.0
922,HIGBOXF1,31920.0
923,HIGBOXF2,0.0
924,HIGBOXF3,1000.0
925,HIGBOXF4,0.0
926,HIGBTRA1,31920.0
927,HIGBTRA2,31920.0
928,HIGBWIL1,31920.0
929,HIGBWIL2,31920.0
930,HIGHBASE,4917.0
931,HIGHCHE1,4917.0
932,HIGHCHE2,4917.0
933,HIGHEME1,4917.0
934,HIGHEME2,4917.0
936,HIGHGRA2,4917.0
937,HIGHMCL1,4917.0
940,HIGHWIN2,4917.0
941,HIGHWIN3,4917.0
943,HIGVFER1,3500.0
944,HIGVFER2,3500.0
945,HIGVROS1,3500.0
946,HIGVROS2,3500.0
947,HIGVROS3,3500.0
948,HIGVROS4,3500.0
949,HIGVWHA1,3500.0
950,HIGVWHA2,0.0
951,HIGVWHA4,3500.0
954,HOLIEXET,0.0
955,HOLIGREE,0.0
966,HORTHAMI,21958.0
967,HORTMAIT,21958.0
969,HORTRIC2,21958.0
970,HORTRID1,21958.0
977,HORTWAT2,21958.0
978,HORTWELL,21958.0
980,HORTWHA2,21958.0
981,HORTWHA3,21958.0
982,HORTWHA4,21958.0
988,HUBRENT4,2000.0
989,HUBRWIL2,2000.0
990,HUDSBAFF,2000.0
991,HUDSFROB,2000.0
992,HUDSJOLI,2000.0
993,HUDSTRAF,2000.0
997,HUROADE4,12604.0
998,HUROADE6,0.0
999,HUROBARK,12604.0
1002,HUROBRI1,12604.0
1003,HUROBRI2,12604.0
1005,HUROCOLB,12604.0
1006,HUROFRAS,12604.0
1008,HUROHIG2,12604.0
1009,HUROHIG3,12604.0
1010,HUROHIG4,12604.0
1011,HUROMCN1,12604.0
1012,HUROMCN2,12604.0
1013,HURORIC1,12604.0
1014,HURORIC2,12604.0
1015,HUROSAN1,12604.0
1016,HUROSAN2,12604.0
1017,HUROVES1,12604.0
1018,HUROVES2,12604.0
1019,HUROWAT1,12604.0
1020,HUROWAT2,12604.0
1021,HUROWEB1,12604.0
1022,HUROWEB2,12604.0
1024,HUROWEDG,12604.0
1026,HYDEFIG1,21562.0
1027,HYDEFIG2,21562.0
1028,HYDEIVAN,21562.0
1029,HYDEOXF1,21562.0
1030,HYDEOXF2,21562.0
1031,HYDERIVE,21562.0
1032,HYDEVALE,21562.0
1034,INDUOXFO,5000.0
1035,INDUPAG1,5000.0
1036,INDUPAG3,5000.0
1039,JALNAUGU,4430.0
1040,JALNBEE1,4430.0
1041,JALNBEE2,4430.0
1043,JALNBEM2,4430.0
1044,JALNBRA1,0.0
1046,JALNBRA3,4430.0
1047,JALNBRA4,4430.0
1048,JALNCHES,4430.0
1049,JALNCLAR,4430.0
1050,JALNCOLE,4430.0
1051,JALNERI1,4430.0
1052,JALNERI2,4430.0
1053,JALNERI4,4430.0
1055,JALNERN3,4430.0
1056,JALNERN4,4430.0
1057,JALNERN5,4430.0
1058,JALNFAI1,0.0
1059,JALNFAI2,4430.0
1060,JALNJOS1,4430.0
1061,JALNJOS2,4430.0
1062,JALNJOS4,4430.0
1063,JALNMEG,4430.0
1064,JALNPIER,4430.0
1065,JALNPON1,4430.0
1067,JALNPOP1,4430.0
1071,JALNSDAL,4430.0
1072,JALNTUMB,4430.0
1077,KINGBUR1,2250.0
1078,KINGCHI1,2250.0
1079,KINGCHI2,2250.0
1082,KINGEAGL,2250.0
1083,KINGECHO,2250.0
1084,KINGOAK1,1500.0
1085,KINGOAK2,1500.0
1086,KINGRICH,2250.0
1087,KINGSCE1,2250.0
1088,KINGSCE2,2250.0
1089,KINGTHO2,2250.0
1090,KINGVERM,2250.0
1091,KINGWON1,1500.0
1092,KINGWON2,1500.0
1093,KIPPADEL,6250.0
1094,KIPPARBO,6250.0
1095,KIPPBARK,6250.0
1096,KIPPBELF,6250.0
1097,KIPPBRIA,6250.0
1104,LAMBMID1,10333.0
1105,LANGHOLB,0.0
1107,LAWSBAN1,3900.0
1108,LAWSBAN2,3900.0
1109,LAWSDENL,3900.0
1110,LAWSLIMB,3900.0
1118,LIMBARD1,1500.0
1119,LIMBARD2,1500.0
1120,LIMBARD3,1500.0
1121,LIMBARD4,1500.0
1124,LIMBGAI1,1500.0
1125,LIMBGAI2,1500.0
1131,MACKEMER,0.0
1132,MAITREGE,4000.0
1133,MANITWEE,1000.0
1137,MARCNOEL,5500.0
1138,MARCRAI2,5500.0
1139,MARCTRAF,5500.0
1140,MASOSTO1,0.0
1141,MASOSTO2,0.0
1142,MASOSTO3,0.0
1143,MASOSTO4,0.0
1144,MASOSTO5,0.0
1145,MASOSTO6,0.0
1154,MCMAWON2,0.0
1155,MCNACHEA,0.0
1156,MCNAHUR1,0.0
1157,MCNAHUR2,0.0
1159,MCNAMEL2,0.0
1161,MCNAROC2,0.0
1162,MCNAVIC1,0.0
1163,MCNAVIC2,0.0
1164,MCNAVIC3,0.0
1165,MEADREA1,2375.0
1168,MEGEXE1,2250.0
1169,MEGEXE2,2250.0
1170,MELSBRIA,1500.0
1171,MELSSUSS,1500.0
1173,MIDDPERT,10333.0
1174,MILLASHB,3667.0
1175,MILLBEX1,0.0
1176,MILLBEX2,3667.0
1177,MILLBEX3,3667.0
1178,MILLBEX4,0.0
1179,MILLBRID,3667.0
1180,MILLDOWN,3667.0
1181,MILLDUD1,3667.0
1182,MILLDUD2,3667.0
1183,MILLEBU2,0.0
1184,MILLEBU4,3667.0
1185,MILLHARR,3667.0
1186,MILLPAR1,3667.0
1187,MILLPAR2,3667.0
1188,MILLSDA1,3667.0
1189,MILLSDA2,3667.0
1190,MILLSDA4,0.0
1191,MILLSHA1,3667.0
1192,MILLSHA2,3667.0
1193,MILLSHA3,3667.0
1194,MILLSHA4,3667.0
1195,MILLSTAN,3667.0
1199,MONTFUND,0.0
1200,MONTGORE,0.0
1201,MONTMANI,0.0
1206,MONTTWEE,0.0
1207,MORNCON1,5000.0
1208,MORNCON2,5000.0
1209,MORNCURR,5000.0
1210,MORNGLAS,5000.0
1214,MORNOXF2,0.0
1216,MORNOXF4,0.0
1217,MORNSAL1,5000.0
1218,MORNSAL2,5000.0
1219,MORNSTRA,5000.0
1222,NATSCI,0.0
1225,NEPT342N,0.0
1226,NEPTSOV1,0.0
1227,NEPTSOV3,0.0
1228,NEWBADE1,6500.0
1229,NEWBBESS,6500.0
1231,NEWBCON1,6500.0
1232,NEWBTOWE,6500.0
1234,NIXOCRE2,10000.0
1235,NIXOEDEN,10000.0
1236,NIXOSDAL,10000.0
1237,NIXOWIMB,10000.0
1238,NOELBOW,0.0
1240,NOTRVISC,5500.0
1244,OAKVCHIP,3000.0
1245,OAKVHURO,3000.0
1246,OAKVTILI,3000.0
1249,OSGOADE1,1500.0
1250,OSGOADE3,1500.0
1251,OSGOBRE1,1500.0
1252,OSGOBRE2,1500.0
1253,OSGOFITZ,1500.0
1254,OSGOKIN1,1500.0
1255,OSGOKIN2,1500.0
1256,OSGOKIN4,0.0
1257,OSGOMETC,1500.0
1258,OSGOWOO1,1500.0
1259,OSGOWOO2,1500.0
1260,OXFOADE1,26603.0
1261,OXFOADE2,26603.0
1262,OXFOANDR,26603.0
1263,OXFOBEA1,26603.0
1264,OXFOBEA2,26603.0
1265,OXFOBEA4,26603.0
1266,OXFOBRI1,26603.0
1268,OXFOCAP1,26603.0
1269,OXFOCAP2,26603.0
1270,OXFOCHE1,0.0
1271,OXFOCHE2,26603.0
1272,OXFOCHE3,26603.0
1273,OXFOCLA1,26603.0
1274,OXFOCLA2,0.0
1275,OXFOCLA3,0.0
1276,OXFOCLA5,26603.0
1277,OXFOCLA6,26603.0
1278,OXFOCLE1,26603.0
1279,OXFOCLE2,26603.0
1280,OXFOCOL1,26603.0
1281,OXFOCOL2,26603.0
1285,OXFOELI1,26603.0
1286,OXFOELI2,26603.0
1287,OXFOELL1,26603.0
1288,OXFOELL2,26603.0
1289,OXFOEMPI,26603.0
1290,OXFOFERN,26603.0
1291,OXFOFID1,26603.0
1292,OXFOFID2,26603.0
1294,OXFOFRE1,26603.0
1295,OXFOFRE2,26603.0
1296,OXFOGAM1,26603.0
1297,OXFOGAM2,26603.0
1298,OXFOGEO1,26603.0
1299,OXFOGEO2,26603.0
1300,OXFOGM1,0.0
1301,OXFOGM2,26603.0
1302,OXFOGM3,0.0
1303,OXFOGRAC,26603.0
1304,OXFOGUI1,26603.0
1305,OXFOGUI2,26603.0
1306,OXFOGUI3,26603.0
1307,OXFOHIG1,0.0
1308,OXFOHIG2,26603.0
1309,OXFOHIG3,26603.0
1310,OXFOHIG4,1000.0
1311,OXFOHYD1,26603.0
1312,OXFOHYD2,26603.0
1313,OXFOIND1,26603.0
1314,OXFOIND2,26603.0
